"Original Name","Normalized Name"
"Jn.Of.Vly-Tbm Rd&Mvkm-K.K;",
"Kadambathur",
"Kadapakkam",
"Kadhavoor",
"Kadhavoor Rd.Jn.",
"Kakkalur",
"Kakkan Bridge",
"Kalaignar Nagar",
"Kalaignar Nagar West",
"Kalavakkam Tea Stall",
"Kallikalam",
"Kallikuppam",
"Kamabar Arangam",
"Kamarajapuram",
"Kamaraj Nagar",
"Kanathur",
"Kanchivoyal",
"Kandanchavadi",
"Kandan Kollai",
"Kandasamy Nagar",
"Kandigai",
"Kannadapalayam",
"Kannagi Nagar S.C.Board",
"Kannan Theater",
"Kanniamman Nagar",
"Kanniampalayam",
"Kannigaipeir",
"Kanni Koil",
"Kannivakkam",
"Karakku",
"Karanai",
"Karanodai",
"Karanodai School",
"Karapakkam",
"Karasangal",
"Karayancahvadi",
"Kargil Nagar",
"Karimedu",
"Karumanoor Kandigai",
"Karumbakkam",
"Karungudi Pallam",
"Kasanoor",
"Kathirvedu",
"Kattu Koot Road",
"Kattur",
"Kattur Cross Road",
"Kattur Road Jn.",
"Kavalpathy",
"Kavangarai",
"Kavanoor",
"Kavanoor Koot Road",
"Kavaraipalayam",
"Kavaraped",
"Kaviarasu Kannadasan Naga",
"Kayaar",
"Keerapakkam",
"Kelambakkam",
"Kelleys",
"Kesava Cross Road",
"Kilkattalai",
"Kilkondaiyur",
"Kilpauk Garden",
"Kizhanoor",
"Kizhkalvoy",
"Kizh Nallathur",
"Kizhur",
"K.M.C",
"Kodungaiyur O.T.",
"Kodungaiyur(Parvathi Naga",
"Kodungaiyur Parvathinagar",
"Koilpathagai Rd.Jn.",
"Koladi School",
"Kolapakkam",
"Kolapakkam Colony",
"Kolapakkam Rice Mill",
"Kolappanchery",
"Kolathur",
"Kolathur/Nehru Rd Jn",
"Kollaicheri",
"Koman Nagar Rd Jn.",
"Kondakkarai",
"Kondanchery Christhuva Sa",
"Konimedu Rd. Jn.",
"Koothavakkam School",
"Koovam",
"Koovoor",
"Korattur",
"Korukkupet",
"Korukkupet R.S",
"Kosapalayam",
"Kosappur",
"Kosappur Puo",
"Kosapur Rd. Jn.,",
"Kosavampettai",
"Kosavan Palayam",
"Kothari",
"Kottivakkam",
"Kottur Nsk Statue",
"Kotturpuram",
